generation,genome_idx,fitness,n_hidden,gene_in,gene_out,weight,enabled,innov
41,1,397.6833333333334,3,5,13,1.362238,1,18
41,1,397.6833333333334,3,6,11,-0.904426,1,19
41,1,397.6833333333334,3,6,12,-0.830968,1,20
41,1,397.6833333333334,3,6,13,1.290393,1,21
41,1,397.6833333333334,3,7,11,1.951575,1,22
41,1,397.6833333333334,3,7,12,-0.426957,1,23
41,1,397.6833333333334,3,7,13,-1.853957,1,24
41,1,397.6833333333334,3,8,11,0.986695,1,25
41,1,397.6833333333334,3,8,12,0.248597,1,26
41,1,397.6833333333334,3,8,13,2.339876,1,27
41,1,397.6833333333334,3,9,11,0.772460,1,28
41,1,397.6833333333334,3,9,12,0.086700,1,29
41,1,397.6833333333334,3,9,13,0.104982,1,30
41,1,397.6833333333334,3,10,11,-1.523785,1,31
41,1,397.6833333333334,3,10,12,0.089238,1,32
41,1,397.6833333333334,3,10,13,-0.837961,0,33
41,1,397.6833333333334,3,0,14,-2.584886,0,147
41,1,397.6833333333334,3,14,11,0.064698,1,148
41,1,397.6833333333334,3,0,15,0.224791,1,36
41,1,397.6833333333334,3,15,14,1.084147,1,37
41,1,397.6833333333334,3,10,16,1.379966,1,63
41,1,397.6833333333334,3,16,13,0.507633,1,64
41,2,2385.383333333333,3,0,11,-0.704594,0,1
41,2,2385.383333333333,3,0,12,0.165974,1,2
41,2,2385.383333333333,3,0,13,-0.812592,1,3
41,2,2385.383333333333,3,1,11,1.673354,1,4
41,2,2385.383333333333,3,1,12,-1.167683,1,5
41,2,2385.383333333333,3,1,13,-1.287152,1,6
41,2,2385.383333333333,3,2,11,1.156610,1,7
41,2,2385.383333333333,3,2,12,-0.455068,1,8
41,2,2385.383333333333,3,2,13,0.656344,1,9
41,2,2385.383333333333,3,3,11,2.370449,1,10
41,2,2385.383333333333,3,3,12,-0.766252,1,11
41,2,2385.383333333333,3,3,13,-0.019289,1,12
41,2,2385.383333333333,3,4,11,-0.064359,1,13
41,2,2385.383333333333,3,4,12,-1.431187,1,14
41,2,2385.383333333333,3,4,13,2.770794,1,15
41,2,2385.383333333333,3,5,11,-0.628431,1,16
41,2,2385.383333333333,3,5,12,0.062616,1,17
41,2,2385.383333333333,3,5,13,1.621386,1,18
41,2,2385.383333333333,3,6,11,-0.670578,1,19
41,2,2385.383333333333,3,6,12,-0.499365,1,20
41,2,2385.383333333333,3,6,13,1.223749,1,21
41,2,2385.383333333333,3,7,11,-1.440875,1,22
41,2,2385.383333333333,3,7,12,0.428846,1,23
41,2,2385.383333333333,3,7,13,-1.050485,1,24
41,2,2385.383333333333,3,8,11,-0.019474,1,25
41,2,2385.383333333333,3,8,12,-0.257422,1,26
41,2,2385.383333333333,3,8,13,2.117956,1,27
41,2,2385.383333333333,3,9,11,0.528266,1,28
41,2,2385.383333333333,3,9,12,0.105855,1,29
41,2,2385.383333333333,3,9,13,-0.395465,1,30
41,2,2385.383333333333,3,10,11,-1.694124,1,31
41,2,2385.383333333333,3,10,12,-0.078513,1,32
41,2,2385.383333333333,3,10,13,0.134094,0,33
